Date_parsed,GEO,Year,Job vacancies,Job vacancy rate,Payroll employees,Total Employment
2016-08-01,Canada,2016,402370.00,2.60,15376120.00,15864905.00
2019-11-01,Quebec,2019,124070.00,3.20,3711120.00,3884743.00
2017-11-01,British Columbia,2017,84775.00,3.80,2151205.00,2243794.00
2022-04-01,New Brunswick,2022,16080.00,5.30,289245.00,332191.00
2019-09-01,Alberta,2019,56115.00,2.80,1976475.00,2055167.00
2016-10-01,Canada,2016,394395.00,2.50,15559350.00,16240828.00
2019-02-01,Ontario,2019,183805.00,2.90,6194160.00,6472213.00
2018-09-01,Quebec,2018,122700.00,3.40,3496150.00,3772896.00
2017-04-01,British Columbia,2017,93515.00,4.30,2067600.00,2177074.00
2022-09-01,Nova Scotia,2022,23075.00,5.10,430725.00,446223.00
2017-10-01,Quebec,2017,93380.00,2.60,3530480.00,3697257.00
2024-07-01,Canada,2024,563955.00,3.10,17627000.00,18269504.00
2017-05-01,British Columbia,2017,83845.00,3.90,2079075.00,2206014.00
2019-07-01,Alberta,2019,48375.00,2.40,1994350.00,2040676.00
2017-05-01,Canada,2017,466515.00,3.00,15283925.00,16324981.00
2019-03-01,Alberta,2019,50440.00,2.50,1955300.00,2001699.00
2022-05-01,Nova Scotia,2022,23905.00,5.20,438380.00,443016.00
2024-09-01,Ontario,2024,196180.00,2.90,6665960.00,7108256.00
2017-08-01,Ontario,2017,172745.00,2.80,6060305.00,6288645.00
2017-08-01,British Columbia,2017,82615.00,3.80,2113350.00,2206020.00
2019-03-01,Nunavut,2019,310.00,2.60,11775.00,16887.00
2017-05-01,Newfoundland and Labrador,2017,3375.00,1.80,186480.00,220611.00
2017-09-01,Manitoba,2017,16935.00,2.90,562835.00,616328.00
2024-10-01,Nova Scotia,2024,13150.00,2.80,460660.00,465741.00
2016-11-01,Alberta,2016,42820.00,2.20,1918260.00,1979223.00
2018-10-01,Saskatchewan,2018,9900.00,2.10,463970.00,483461.00
2018-09-01,Canada,2018,598025.00,3.60,15826500.00,16928094.00
2016-03-01,British Columbia,2016,72485.00,3.50,1993175.00,2096461.00
2018-11-01,Canada,2018,549800.00,3.30,16232165.00,16982750.00
2023-12-01,British Columbia,2023,86765.00,3.40,2433670.00,2588053.00
2022-01-01,British Columbia,2022,145275.00,5.90,2306795.00,2367753.00
2025-11-01,Northwest Territories,2025,770.00,3.30,22310.00,27335.00
2021-10-01,British Columbia,2021,152640.00,6.30,2266450.00,2385371.00
