Year,Date_parsed,GEO,NAICS,Average offered hourly wage,Job vacancies,Job vacancy rate,Payroll employees,Total Employment
2023,2023-10-01,Canada,"Total, all industries",26.35,646365.00,3.60,17366840.00,18247734.00
2023,2023-01-01,Canada,"Total, all industries",25.40,781250.00,4.40,16865200.00,17700033.00
2023,2023-01-01,Canada,"Agriculture, forestry, fishing and hunting [11]",20.40,11455.00,5.20,208215.00,nan
2023,2023-07-01,Canada,"Agriculture, forestry, fishing and hunting [11]",21.00,10895.00,3.90,271025.00,nan
2023,2023-10-01,Canada,Construction [23],29.80,52940.00,4.10,1224610.00,1159795.00
2023,2023-01-01,Canada,Manufacturing [31-33],25.45,60550.00,3.80,1539365.00,1535526.00
2023,2023-07-01,Canada,Manufacturing [31-33],26.35,52195.00,3.20,1597885.00,1582416.00
2023,2023-01-01,Canada,Wholesale trade [41],27.60,28715.00,3.40,815125.00,815163.00
2023,2023-01-01,Canada,Retail trade [44-45],19.00,73375.00,3.50,2028610.00,1979082.00
2023,2023-01-01,Canada,Transportation and warehousing [48-49],26.10,43660.00,5.00,837650.00,827686.00
2023,2023-04-01,Canada,Information and cultural industries [51],32.40,11505.00,3.00,369190.00,369294.00
2023,2023-07-01,Canada,Information and cultural industries [51],35.05,8100.00,2.20,367390.00,359686.00
2023,2023-10-01,Canada,Information and cultural industries [51],33.60,6715.00,1.80,359275.00,357184.00
2023,2023-04-01,Canada,Finance and insurance [52],31.85,27665.00,3.20,831430.00,840878.00
2023,2023-01-01,Canada,Management of companies and enterprises [55],32.85,4725.00,3.60,125030.00,nan
2023,2023-10-01,Canada,"Administrative and support, waste management and remediation services [56]",23.90,33745.00,3.80,850060.00,836445.00
2023,2023-04-01,Canada,Educational services [61],29.25,23620.00,1.50,1521150.00,nan
2023,2023-01-01,Canada,Accommodation and food services [72],16.40,98130.00,7.30,1249520.00,1251574.00
2023,2023-10-01,Canada,Other services (except public administration) [81],25.00,28195.00,4.70,571330.00,573908.00
2023,2023-04-01,Canada,Public administration [91],29.40,17475.00,3.10,538365.00,1300493.00
2023,2023-10-01,Canada,Public administration [91],31.75,12980.00,2.30,557970.00,1293113.00
2017,2017-04-01,Canada,"Mining, quarrying, and oil and gas extraction [21]",30.10,4410.00,2.20,195250.00,201765.00
2017,2017-04-01,Canada,Utilities [22],34.50,1375.00,1.10,118620.00,nan
2017,2017-07-01,Canada,Utilities [22],35.70,1325.00,1.10,121165.00,nan
2017,2017-01-01,Canada,Construction [23],24.75,26035.00,2.80,916450.00,901519.00
2017,2017-10-01,Canada,Construction [23],23.25,28805.00,2.60,1066135.00,1002301.00
2017,2017-07-01,Canada,Manufacturing [31-33],19.95,42355.00,2.70,1544240.00,1534981.00
2017,2017-10-01,Canada,Wholesale trade [41],21.75,21535.00,2.70,785400.00,800363.00
2017,2017-04-01,Canada,Wholesale trade [41],22.00,18255.00,2.30,769540.00,796000.00
2017,2017-07-01,Canada,Wholesale trade [41],22.45,20845.00,2.60,793340.00,792466.00
2017,2017-10-01,Canada,Retail trade [44-45],13.75,68870.00,3.30,1994290.00,2035066.00
2017,2017-01-01,Canada,Information and cultural industries [51],26.20,8650.00,2.30,362500.00,363468.00
2017,2017-10-01,Canada,Information and cultural industries [51],29.40,12145.00,3.30,358975.00,360789.00
2017,2017-01-01,Canada,Finance and insurance [52],29.20,18580.00,2.50,723670.00,719921.00
2017,2017-01-01,Canada,Real estate and rental and leasing [53],21.55,5325.00,1.80,292500.00,283411.00
2017,2017-04-01,Canada,Real estate and rental and leasing [53],19.55,7370.00,2.50,286950.00,300870.00
2017,2017-07-01,Canada,Real estate and rental and leasing [53],20.95,7245.00,2.40,300725.00,301526.00
2017,2017-01-01,Canada,"Arts, entertainment and recreation [71]",14.45,10735.00,3.90,266580.00,268140.00
2017,2017-01-01,Canada,Accommodation and food services [72],12.80,46445.00,3.60,1247260.00,1245926.00
2017,2017-04-01,Canada,Accommodation and food services [72],12.65,66775.00,5.00,1269795.00,1347032.00
2017,2017-01-01,Canada,Other services (except public administration) [81],19.15,16795.00,3.10,533160.00,527848.00
2019,2019-07-01,Canada,"Agriculture, forestry, fishing and hunting [11]",16.05,15595.00,5.50,265455.00,nan
2019,2019-01-01,Canada,Utilities [22],34.95,1880.00,1.50,125640.00,nan
2019,2019-10-01,Canada,Utilities [22],40.95,1725.00,1.30,127575.00,nan
2019,2019-01-01,Canada,Construction [23],24.20,33140.00,3.30,969570.00,953611.00
2019,2019-10-01,Canada,Manufacturing [31-33],22.20,42170.00,2.60,1584250.00,1565692.00
2019,2019-07-01,Canada,Transportation and warehousing [48-49],23.10,28740.00,3.60,779695.00,794301.00
2019,2019-01-01,Canada,Transportation and warehousing [48-49],22.25,29605.00,3.70,776520.00,765217.00
2019,2019-04-01,Canada,Information and cultural industries [51],27.40,13265.00,3.60,352085.00,356888.00
2019,2019-01-01,Canada,Finance and insurance [52],28.40,21470.00,2.80,741755.00,740282.00
2019,2019-07-01,Canada,Finance and insurance [52],29.55,21820.00,2.80,754100.00,753711.00
2019,2019-04-01,Canada,"Professional, scientific and technical services [54]",29.85,39885.00,4.00,959405.00,nan
2019,2019-10-01,Canada,Management of companies and enterprises [55],28.90,2180.00,1.90,110220.00,nan
2019,2019-01-01,Canada,Management of companies and enterprises [55],27.55,2525.00,2.30,105755.00,nan
2019,2019-07-01,Canada,"Administrative and support, waste management and remediation services [56]",18.60,38810.00,4.30,865655.00,874108.00
2019,2019-04-01,Canada,"Administrative and support, waste management and remediation services [56]",18.40,44765.00,5.20,817835.00,859813.00
2019,2019-01-01,Canada,Educational services [61],26.80,15075.00,1.10,1413280.00,nan
2019,2019-04-01,Canada,Educational services [61],26.55,15940.00,1.10,1435390.00,nan
2019,2019-07-01,Canada,Educational services [61],25.90,14650.00,1.30,1145315.00,nan
2019,2019-10-01,Canada,Educational services [61],28.05,14425.00,1.00,1414040.00,nan
2019,2019-01-01,Canada,"Arts, entertainment and recreation [71]",16.40,15365.00,5.10,283235.00,284356.00
2019,2019-07-01,Canada,Accommodation and food services [72],14.35,76605.00,5.20,1398235.00,1393270.00
2019,2019-10-01,Canada,Public administration [91],28.25,9785.00,1.90,517725.00,1137861.00
2019,2019-01-01,Canada,Public administration [91],25.35,10320.00,2.00,501365.00,1120907.00
2023,2023-04-01,Ontario,"Total, all industries",26.10,284025.00,4.10,6580290.00,7095744.00
2023,2023-04-01,Ontario,Utilities [22],41.05,1955.00,3.60,51725.00,nan
2023,2023-07-01,Ontario,Utilities [22],43.50,1500.00,2.70,53215.00,nan
2023,2023-01-01,Ontario,Manufacturing [31-33],25.95,21970.00,3.10,677090.00,676552.00
2023,2023-01-01,Ontario,Wholesale trade [41],28.45,11790.00,3.20,357225.00,358038.00
2023,2023-10-01,Ontario,Wholesale trade [41],29.95,10240.00,2.80,359450.00,363653.00
2023,2023-01-01,Ontario,Retail trade [44-45],18.85,23880.00,3.10,735890.00,720168.00
2023,2023-07-01,Ontario,Information and cultural industries [51],38.55,3060.00,2.00,152850.00,147916.00
2023,2023-10-01,Ontario,Information and cultural industries [51],35.45,2850.00,1.90,147890.00,147606.00
2023,2023-10-01,Ontario,Finance and insurance [52],35.40,9130.00,2.30,389905.00,397533.00
2023,2023-01-01,Ontario,Finance and insurance [52],34.85,13995.00,3.50,390625.00,390079.00
2023,2023-07-01,Ontario,Real estate and rental and leasing [53],27.95,2920.00,2.30,122835.00,122900.00
2023,2023-01-01,Ontario,Real estate and rental and leasing [53],29.35,3270.00,2.70,118760.00,117288.00
2023,2023-04-01,Ontario,Management of companies and enterprises [55],31.35,1645.00,3.30,47675.00,nan
2023,2023-04-01,Ontario,"Administrative and support, waste management and remediation services [56]",22.60,22735.00,5.70,376440.00,383361.00
2023,2023-10-01,Ontario,"Administrative and support, waste management and remediation services [56]",23.15,13500.00,3.40,385915.00,381364.00
2023,2023-04-01,Ontario,Educational services [61],29.00,8455.00,1.40,578950.00,nan
2023,2023-07-01,Ontario,Health care and social assistance [62],29.25,50895.00,5.80,823230.00,831339.00
2023,2023-04-01,Ontario,"Arts, entertainment and recreation [71]",18.50,8030.00,6.70,111380.00,131102.00
2023,2023-07-01,Ontario,Other services (except public administration) [81],25.90,10960.00,5.10,202645.00,204142.00
2023,2023-01-01,Ontario,Public administration [91],28.20,5205.00,2.40,208235.00,469418.00
2018,2018-01-01,Canada,"Total, all industries",21.05,462750.00,2.90,15580075.00,16320468.00
2018,2018-01-01,Canada,"Agriculture, forestry, fishing and hunting [11]",14.90,13815.00,6.90,185210.00,nan
2018,2018-01-01,Canada,"Mining, quarrying, and oil and gas extraction [21]",31.60,5895.00,2.80,201815.00,200607.00
2018,2018-01-01,Canada,Utilities [22],34.85,1375.00,1.10,121950.00,nan
2018,2018-04-01,Canada,Utilities [22],34.95,1880.00,1.50,123280.00,nan
2018,2018-10-01,Canada,Retail trade [44-45],14.80,75585.00,3.60,2004380.00,2054026.00
2018,2018-01-01,Canada,Transportation and warehousing [48-49],21.05,29145.00,3.70,748860.00,738625.00
2018,2018-10-01,Canada,Finance and insurance [52],28.00,27285.00,3.60,736920.00,750693.00
2018,2018-04-01,Canada,Finance and insurance [52],27.70,22365.00,3.00,727680.00,740191.00
2018,2018-04-01,Canada,Real estate and rental and leasing [53],20.85,8475.00,2.90,288250.00,299170.00
2018,2018-07-01,Canada,Real estate and rental and leasing [53],20.95,8780.00,2.90,297535.00,298508.00
2018,2018-10-01,Canada,"Professional, scientific and technical services [54]",30.20,35770.00,3.70,939550.00,nan
2018,2018-04-01,Canada,"Professional, scientific and technical services [54]",30.45,34110.00,3.60,923215.00,nan
2018,2018-07-01,Canada,"Administrative and support, waste management and remediation services [56]",18.15,39480.00,4.50,841105.00,855241.00
2018,2018-01-01,Canada,"Arts, entertainment and recreation [71]",15.50,13380.00,4.70,271195.00,275226.00
