REF_DATE,GEO,DGUID,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015-04,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,482925,A,,,0
2015-05,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,444495,A,,,0
2015-06,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,410685,A,,,0
2015-07,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,374735,A,,,0
2015-08,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,377900,A,,,0
2015-09,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,459785,A,,,0
2015-10,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,382545,A,,,0
2015-11,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,373980,A,,,0
2015-12,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,303040,A,,,0
2016-01,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,307740,A,,,0
2016-02,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,294535,A,,,0
2016-03,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,363255,A,,,0
2016-04,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,383555,A,,,0
2016-05,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,400140,A,,,0
2016-06,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,392755,A,,,0
2016-07,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,371465,A,,,0
2016-08,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,402370,A,,,0
2016-09,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,419725,A,,,0
2016-10,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,394395,A,,,0
2016-11,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,380140,A,,,0
2016-12,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,341000,A,,,0
2017-01,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,346495,A,,,0
2017-02,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,360685,A,,,0
2017-03,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,438375,A,,,0
2017-04,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,466590,A,,,0
2017-05,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,466515,A,,,0
2017-06,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,438060,A,,,0
2017-07,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,434595,A,,,0
2017-08,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,447225,A,,,0
2017-09,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,518780,A,,,0
2017-10,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,484955,A,,,0
2017-11,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,493215,A,,,0
2017-12,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,417505,A,,,0
2018-01,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,421415,A,,,0
2018-02,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,439290,A,,,0
2018-03,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,504255,A,,,0
2018-04,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,544450,A,,,0
2018-05,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,546210,A,,,0
2018-06,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,538105,A,,,0
2018-07,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,532090,A,,,0
2018-08,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,523525,A,,,0
2018-09,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,598025,A,,,0
2018-10,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,602505,A,,,0
2018-11,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,549800,A,,,0
2018-12,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,477705,A,,,0
2019-01,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,487375,A,,,0
2019-02,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,478310,A,,,0
2019-03,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,540840,A,,,0
2019-04,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,594825,A,,,0
2019-05,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,587490,A,,,0
2019-06,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,558715,A,,,0
2019-07,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,544120,A,,,0
2019-08,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,560090,A,,,0
2019-09,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,587795,A,,,0
2019-10,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,568835,A,,,0
2019-11,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,510525,A,,,0
2019-12,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,434340,A,,,0
2020-01,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,518485,A,,,0
2020-02,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,505665,A,,,0
2020-03,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,522630,A,,,0
2020-10,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,619265,A,,,0
2020-11,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,556570,A,,,0
2020-12,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,479335,A,,,0
2021-01,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,495540,A,,,0
2021-02,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,537390,A,,,0
2021-03,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,632075,A,,,0
2021-04,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,693955,A,,,0
2021-05,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,706345,A,,,0
2021-06,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,797800,A,,,0
2021-07,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,830450,A,,,0
2021-08,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,919835,A,,,0
2021-09,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,988655,A,,,0
2021-10,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,964130,A,,,0
2021-11,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,894550,A,,,0
2021-12,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,878040,A,,,0
2022-01,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,853450,A,,,0
2022-02,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,833725,A,,,0
2022-03,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,977565,A,,,0
2022-04,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,1034280,A,,,0
2022-05,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,1037195,A,,,0
2022-06,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,1020615,A,,,0
2022-07,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,999995,A,,,0
2022-08,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,974450,A,,,0
2022-09,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,987760,A,,,0
2022-10,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,933845,A,,,0
2022-11,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,854165,A,,,0
2022-12,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,752325,A,,,0
2023-01,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1212389364,1.1,788280,A,,,0
