REF_DATE,GEO,DGUID,Type of employee,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2001-01,Canada,2021A000011124,All employees,Industrial aggregate including unclassified businesses [00-91N],Persons,249,units,0,v1556538,1.1.1,12560806,,,,0
2001-01,Canada,2021A000011124,All employees,Industrial aggregate excluding unclassified businesses [11-91N],Persons,249,units,0,v1556539,1.1.2,12481612,,,,0
2001-01,Canada,2021A000011124,All employees,Goods producing industries [11-33N],Persons,249,units,0,v1556540,1.1.3,2756916,,,,0
2001-01,Canada,2021A000011124,All employees,"Forestry, logging and support [11N]",Persons,249,units,0,v1556541,1.1.4,62106,,,,0
2001-01,Canada,2021A000011124,All employees,Forestry and logging [113],Persons,249,units,0,v1556542,1.1.5,48609,,,,0
2001-01,Canada,2021A000011124,All employees,Timber tract operations [1131],Persons,249,units,0,v44308649,1.1.482,,x,,,0
2001-01,Canada,2021A000011124,All employees,Forest nurseries and gathering of forest products [1132],Persons,249,units,0,v44308650,1.1.7,,x,,,0
2001-01,Canada,2021A000011124,All employees,Logging [1133],Persons,249,units,0,v42141711,1.1.8,46791,,,,0
2001-01,Canada,2021A000011124,All employees,Support activities for forestry [1153],Persons,249,units,0,v1556543,1.1.9,13497,,,,0
2001-01,Canada,2021A000011124,All employees,"Mining, quarrying, and oil and gas extraction [21]",Persons,249,units,0,v1556544,1.1.10,133158,,,,0
2001-01,Canada,2021A000011124,All employees,"Oil and gas extraction [211,2111]",Persons,249,units,0,v1556545,1.1.11,36904,,,,0
2001-01,Canada,2021A000011124,All employees,Mining and quarrying (except oil and gas) [212],Persons,249,units,0,v1556546,1.1.12,51075,,,,0
2001-01,Canada,2021A000011124,All employees,Coal mining [2121],Persons,249,units,0,v1556547,1.1.13,6806,,,,0
2001-01,Canada,2021A000011124,All employees,Metal ore mining [2122],Persons,249,units,0,v1556548,1.1.14,27049,,,,0
2001-01,Canada,2021A000011124,All employees,Non-metallic mineral mining and quarrying [2123],Persons,249,units,0,v1556549,1.1.15,17220,,,,0
2001-01,Canada,2021A000011124,All employees,"Support activities for mining, and oil and gas extraction [213,2131]",Persons,249,units,0,v1556550,1.1.16,45180,,,,0
2001-01,Canada,2021A000011124,All employees,"Utilities [22,221]",Persons,249,units,0,v1556551,1.1.17,108018,,,,0
2001-01,Canada,2021A000011124,All employees,"Electric power generation, transmission and distribution [2211]",Persons,249,units,0,v1556552,1.1.18,87362,,,,0
2001-01,Canada,2021A000011124,All employees,Natural gas distribution [2212],Persons,249,units,0,v1556553,1.1.19,11514,,,,0
2001-01,Canada,2021A000011124,All employees,"Water, sewage and other systems [2213]",Persons,249,units,0,v1556554,1.1.20,9141,,,,0
2001-01,Canada,2021A000011124,All employees,Construction [23],Persons,249,units,0,v1556555,1.1.21,475293,,,,0
2001-01,Canada,2021A000011124,All employees,Construction of buildings [236],Persons,249,units,0,v21636829,1.1.451,111885,,,,0
